date;tmax;prcp;snow;wspd;wpgt;max_water_temperature;avg_water_level;suspended_solids_concentration;max_flow_rate;swimming;swimming_hardcore;ice_bath;swimming_hardcore_new
2011-06-01;13,3;4,2;0,0;14,0;44,6;16,1;107,0;126,14;192,0;0;0;0;0
2011-06-02;17,1;0,0;0,0;10,8;32,8;13,2;82,0;114,69;98,7;0;0;0;0
2011-06-03;23,8;0,0;0,0;15,1;43,6;14,8;62,0;90,89;60,0;0;0;0;0
2011-06-04;27,8;0,0;0,0;12,2;31,3;16,4;52,0;67,09;42,4;0;1;0;1
2011-06-05;27,1;4,7;0,0;9,7;67,7;17,1;49,0;43,29;43,6;0;0;0;0
2011-06-06;24,6;13,1;0,0;8,6;55,1;17,1;63,0;21,59;70,4;0;0;0;0
2011-06-07;25,2;0,0;0,0;9,0;34,9;16,7;56,0;16,26;45,5;0;1;0;1
2011-06-08;19,3;1,9;0,0;12,6;51,5;16,5;52,0;14,4;42,3;0;0;0;0
2011-06-09;15,4;0,4;0,0;7,6;19,8;14,9;52,0;12,55;45,2;0;0;0;0
2011-06-10;18,6;0,0;0,0;6,8;21,2;13,8;61,0;11,2;59,6;0;0;0;0
2011-06-11;16,3;5,5;0,0;9,0;35,6;13,6;63,0;11,5;55,2;0;0;0;0
2011-06-12;21,7;0,0;0,0;7,6;23,0;14,7;64,0;11,92;58,7;0;0;0;0
2011-06-13;19,0;0,2;0,0;7,6;27,7;14,5;54,0;12,34;46,8;0;0;0;0
2011-06-14;23,7;0,3;0,0;6,8;30,6;15,1;53,0;12,77;43,9;0;1;0;1
2011-06-15;27,0;4,8;0,0;6,5;26,3;17,0;53,0;13,19;47,0;0;1;0;1
2011-06-16;27,8;7,3;0,0;9,7;68,0;17,3;58,0;13,62;50,2;0;0;0;0
2011-06-17;23,2;7,8;0,0;9,4;30,6;17,5;73,0;14,39;79,3;0;1;0;1
2011-06-18;17,4;12,2;0,0;12,6;51,1;16,9;85,0;16,64;144,0;0;0;0;0
2011-06-19;16,4;3,8;0,0;15,1;63,4;13,8;140,0;19,06;203,0;0;0;0;0
2011-06-20;19,1;0,2;0,0;10,1;35,6;13,5;103,0;20,22;140,0;0;0;0;0
2011-06-21;27,5;0,9;0,0;11,9;46,1;16,5;96,0;16,1;103,0;0;0;0;0
2011-06-22;29,5;7,5;0,0;9,0;77,8;17,2;80,0;11,75;90,2;0;0;0;0
2011-06-23;19,0;12,2;0,0;8,3;27,4;16,2;110,0;10,42;137,0;0;0;0;0
2011-06-24;18,9;1,0;0,0;10,8;42,5;14,7;89,0;9,79;104,0;0;0;0;0
2011-06-25;18,7;1,9;0,0;9,4;38,9;14,5;74,0;9,16;73,9;0;0;0;0
2011-06-26;25,8;0,0;0,0;7,9;35,3;15,7;74,0;8,53;76,1;0;1;0;1
2011-06-27;28,0;0,0;0,0;9,0;28,1;17,9;82,0;15,13;89,8;0;1;0;1
2011-06-28;29,1;0,0;0,0;8,3;26,3;18,4;65,0;46,06;67,8;0;1;0;1
2011-06-29;30,2;91,5;0,0;8,6;37,8;18,7;73,0;78,97;79,4;0;0;0;0
2011-06-30;19,5;3,9;0,0;14,4;42,1;17,9;131,0;103,16;251,0;0;0;0;0
2011-07-01;18,9;6,9;0,0;7,6;50,4;14,7;132,0;48,75;228,0;0;0;0;0
2011-07-02;18,2;0,0;0,0;10,4;35,6;14,4;111,0;34,09;132,0;0;0;0;0
2011-07-03;17,5;0,9;0,0;12,6;43,9;13,8;97,0;28,41;114,0;0;0;0;0
2011-07-04;25,0;0,0;0,0;7,6;24,1;16,1;85,0;22,73;88,5;0;1;0;1
2011-07-05;26,3;0,0;0,0;6,8;27,4;17,2;85,0;17,63;90,7;0;0;0;0
2011-07-06;29,3;0,0;0,0;9,4;31,7;17,7;73,0;14,4;81,0;0;1;0;1
2011-07-07;28,8;14,0;0,0;10,4;56,5;18,5;69,0;12,07;69,6;0;0;0;0
2011-07-08;24,2;3,2;0,0;10,8;61,2;18,5;72,0;16,82;72,2;0;0;0;0
2011-07-09;28,6;22,4;0,0;8,3;39,6;18,5;72,0;23,32;73,2;1;1;0;0
2011-07-10;26,9;8,8;0,0;9,7;57,2;18,7;67,0;29,82;70,3;0;0;0;0
2011-07-11;25,0;0,0;0,0;9,0;24,8;18,3;93,0;35,07;102,0;0;0;0;0
2011-07-12;29,2;0,6;0,0;11,2;34,9;19,0;78,0;28,53;95,1;0;0;0;0
2011-07-13;26,2;24,4;0,0;11,5;52,2;19,0;83,0;19,07;101,0;0;0;0;0
2011-07-14;17,3;0,7;0,0;11,5;35,6;18,0;79,0;10,96;83,6;0;0;0;0
2011-07-15;20,7;0,0;0,0;9,4;29,9;15,8;71,0;9,75;68,6;0;1;0;1
2011-07-16;25,9;0,0;0,0;7,6;24,5;17,4;69,0;9,5;65,0;0;1;0;1
2011-07-17;27,1;6,4;0,0;11,9;52,6;17,3;64,0;9,26;58,2;0;0;0;0
2011-07-18;17,7;0,9;0,0;12,2;32,4;16,9;70,0;9,22;77,7;0;0;0;0
2011-07-19;25,4;45,5;0,0;13,0;72,0;17,0;76,0;10,82;99,9;0;0;0;0
2011-07-20;13,3;17,5;0,0;21,2;53,6;16,6;105,0;19,37;193,0;0;0;0;0
